tag,feature,median_AP,is_interaction
boltz1,boltz1_rosetta_interface_percent_of_binder_in_intf,0.09621936499525086,False
boltz1,boltz1_rosetta_interface_binder_hydrophobicity_percent,0.1282806699473366,False
boltz1,boltz1_rosetta_interface_interface_hbonds,0.2085468966146831,False
boltz1,boltz1_rosetta_interface_hbond_percentage,0.13930513513827036,False
boltz1,boltz1_rosetta_interface_unsat_hbonds,0.09090909090909091,False
boltz1,boltz1_rosetta_interface_delta_unsat_hbonds_percentage,0.09090909090909091,False
boltz1,boltz1_sap_binder,0.10817421441338901,False
boltz1,boltz1_sap_target,0.12966942571196172,False
boltz1,boltz1_sap_delta,0.165961100928797,False
boltz1,RMSD_chA_aft_chB_align_input_boltz1,0.2503563249893021,False
boltz1,RMSD_complex_input_boltz1,0.24144388461994482,False
boltz1,boltz1_pDockQ_min,0.2864743222437151,False
boltz1,boltz1_pDockQ_max,0.2864743222437151,False
boltz1,boltz1_pDockQ2_min,0.32805435305435304,False
boltz1,boltz1_pDockQ2_max,0.3184430066150496,False
boltz1,boltz1_ipSAE_min,0.4000045944096305,False
boltz1,boltz1_ipSAE_max,0.3887715147473187,False
boltz1,boltz1_ipSAE_avg,0.35470620996936786,False
boltz1,boltz1_LIS,0.34049982275788726,False
boltz1,boltz1_ipSAE_min_in_calculation,0.1648739705020649,False
boltz1,boltz1_ipSAE_d0chn,0.34601680849979205,False
boltz1,boltz1_ipSAE_d0dom,0.3501324390312913,False
boltz1,boltz1_pymol_num_interface_residues,0.15174031907745297,False
boltz1,boltz1_rosetta_interface_nres_binder,0.24008169124957232,False
boltz1,boltz1_rosetta_interface_nres_target,0.16631250201229916,False
boltz1,boltz1_ipae,0.358721267462663,False
boltz1,boltz1_dSAP_dSASA_ratio,0.10238190520262126,False
boltz1,boltz1_ipSAE_min*input_rosetta_interface_sc,0.37741793986303834,True
boltz1,boltz1_rosetta_interface_dG_SASA_ratio*boltz1_ipSAE_avg,0.38057123054462455,True
boltz1,boltz1_ipSAE_avg*input_rosetta_interface_dG_SASA_ratio,0.3666232214619311,True
boltz1,boltz1_ipSAE_min*input_rosetta_interface_packstat,0.42114977292302874,True
boltz1,boltz1_ipSAE_max*input_rosetta_interface_sc,0.4076530612244898,True
boltz1,boltz1_rosetta_interface_dG_SASA_ratio*boltz1_ipSAE_min,0.42239475637308455,True
boltz1,boltz1_LIS*input_rosetta_interface_sc,0.3981962481962482,True
boltz1,boltz1_ipSAE_avg*input_rosetta_interface_sc,0.3760942760942761,True
boltz1,boltz1_LIS*input_sap_delta,0.33391281593925776,True
boltz1,boltz1_rosetta_interface_dG_SASA_ratio*boltz1_LIS,0.37968184349763295,True
boltz1,boltz1_rosetta_interface_dG_SASA_ratio*boltz1_ipSAE_max,0.4043387507442043,True
boltz1,boltz1_ipSAE_avg*input_sap_delta,0.3558286283655082,True
boltz1,boltz1_rosetta_interface_sc*boltz1_ipSAE_min,0.3726147871619246,True
